index,height,upper_leg
42532,155.9,28.8
42533,153.6,33.8
42534,142.8,35.3
42535,162.8,37
42536,178.8,43
42537,163.7,41.5
42538,176.5,43
42539,167,38
42541,154,36.5
42542,164.9,36.5
42543,181.1,42.7
42544,158.4,33.7
42545,156.8,31.8
42546,175.5,35.7
42547,147.6,35.2
42548,129.4,30.2
42550,167.3,42.1
42554,160.9,37.8
42556,149.8,36.8
42558,170.5,42.8
42559,160.4,37.5
42560,181.9,39.6
42562,142.4,32.5
42563,141.1,31.6
42566,173.4,38
42567,175.9,38.5
42568,164.8,34.6
42570,143,31.9
42571,158.5,39.3
42572,178.3,41.5
42574,174.7,44.3
42575,156.8,38.2
42576,164.3,41.6
42577,166.2,37.1
42578,155.2,37
42580,166.8,40.5
42581,169.9,38.7
42583,149.6,37.5
42584,186.7,45
42586,171.7,40.7
42587,162.6,35
42588,146.9,34.7
42589,156.4,32.7
42590,175.2,37.1
42591,160.2,38
42592,143.3,30.7
42594,186.5,41.1
42595,176.2,40.6
42596,151.4,31.5
42597,129.6,28.1
42598,160.2,38.5
42599,165.2,36.6
42600,154.1,34.3
42603,173.1,36.5
42604,156.6,37.5
42605,174.6,40.2
42607,163.2,40.1
42609,174.2,43.7
42612,175,40.1
42613,173.1,39.5
42614,179.1,43.6
42617,175.3,39
42621,177.6,35.8
42622,135.8,30.3
42625,140.8,32.2
42626,160.9,33
42628,178.4,41
42629,141.5,24.6
42630,153.6,33
42632,165.5,39
42633,142.8,31.8
42634,163.2,40.4
42636,172.7,38.8
42637,171.4,44.9
42639,186.1,50.2
42640,151.6,33
42641,168.6,42
42642,163.1,38
42643,184.1,43.2
42645,170.9,40.4
42646,169.2,40.7
42647,168.4,38
42648,179.6,44.3
42649,152.5,36.2
42651,178.6,43.5
42652,168.7,38.6
42654,157.6,34
42656,157.1,33
42657,160.8,37.4
42658,170.1,41.5
42659,170.9,38.3
42660,147.4,32.4
42663,123.5,29.7
42664,190,48.6
42665,162.8,37.9
42666,166.2,37.5
42668,161.8,38
42670,166.6,33.2
42672,169.7,42
42674,172.4,40.7
42676,172.8,40.9
42677,170.5,40
42678,154.6,36
42679,164.7,37.8
42680,154.4,34
42681,176.3,44
42682,159.4,37
42683,172.4,37.3
42684,166.8,39.2
42685,182.4,46.2
42686,162.4,34.2
42687,166.5,38.9
42688,154.6,34.2
42689,173.6,41.8
42692,158.3,34.3
42693,173.7,41.2
42695,177.7,39.6
42696,162.5,34
42697,177.2,42.5
42699,176.9,38.6
42700,171.4,38.4
42701,169.4,39.2
42702,153.8,30.8
42703,161.5,36.6
42704,170,44.6
42705,159.1,35.6
42708,168.5,40.8
42709,129.9,35.1
42710,181,41.6
42712,159.7,37.9
42713,168.3,40.5
42715,187.3,40
42717,170.1,37.2
42719,187.7,44.5
42720,144.7,33.7
42721,152.2,33.8
42723,161.9,38
42724,165.7,38
42725,163.7,35.5
42726,158.7,35
42727,172.9,38.2
42728,163.6,38.6
42729,148.8,35.5
42730,158.3,34.6
42733,170.9,34.9
42734,170.2,38.2
42736,165.7,36
42737,162.3,41
42738,162,36
42739,129.7,29.1
42740,180.1,41.5
42741,164.8,38.2
42742,151.5,36
42743,174.4,39.8
42744,177.7,39.7
42745,161.1,30.8
42746,162,33.5
42748,150.9,33.5
42750,156.9,36.6
42751,171.4,38.2
42752,162.6,37.7
42753,163.9,36.9
42756,160.4,39.2
42760,177.9,41.4
42761,167.1,39
42763,173.1,40.5
42764,161.7,35.7
42766,172.6,40.2
42767,172.9,42.8
42768,164.2,40.5
42769,155.8,36.4
42770,152.1,34.3
42771,178.5,39.3
42772,145.7,27.7
42775,161.2,38.6
42776,165.2,38.5
42777,147.7,36.4
42778,161.4,37.9
42779,167.5,44
42781,173.6,40.6
42782,171.8,41.8
42784,153.9,36.2
42785,153.5,38.4
42787,163.3,38.8
42788,172.2,42
42789,151.9,36.7
42790,177.9,40.6
42792,181.1,44.5
42793,130.3,28.5
42794,186.1,43.8
42795,151.3,34
42796,131.8,29.3
42797,166.7,37.1
42798,179.5,43.9
42799,164.8,36.8
42801,171.6,39.8
42802,174.6,36.6
42804,167.1,40.5
42806,165.6,37
42807,162.7,39.3
42809,159.1,38.1
42810,132.9,30.3
42811,175.6,43
42813,158.2,33.6
42814,159.6,39.4
42815,124.6,30.5
42816,158.1,36
42817,186.5,42.3
42818,159.4,33.8
42820,174.6,38
42822,172.7,38.7
42823,159.1,37
42824,169,38
42825,168.9,38
42826,171.4,40.5
42827,170.7,34.8
42829,136.5,29.9
42830,167.2,30.5
42833,156.3,32.7
42834,188.4,44.1
42835,181.1,42.7
42837,153.8,38.2
42838,162.6,35.2
42839,158,39.3
42840,147.4,31.4
42842,162.1,38.6
42843,173.4,42.3
42844,156.1,33
42845,154.2,27.3
42846,162,39.2
42847,165.4,38.3
42850,176.4,39.6
42853,184.2,46.2
42854,168.4,39.2
42855,168.8,35.2
42856,152.9,39.4
42857,175.3,39.2
42858,137.4,34.3
42859,141,32.5
42860,161.4,38.1
42862,172.8,41.2
42863,125.6,24.2
42865,171.3,45.9
42866,154.3,25.8
42867,177.8,42.6
42868,189,38.4
42869,156.6,32.7
42870,144.2,34.4
42873,148.6,33
42875,172,42.7
42876,142.3,30.6
42877,182.5,42.9
42878,167.9,39.7
42880,177,40.4
42881,150.1,37.7
42884,159.3,37
42885,141.8,33
42887,133.1,31.7
42889,157,37.4
42890,168.8,38.6
42895,127.4,31.3
42896,145,34.9
42897,157.9,31.9
42898,172.5,33.5
42900,179.9,42.7
42901,180.5,44
42902,141.5,30.3
42903,167.5,40.4
42904,161.7,33.9
42905,169.4,39.5
42906,184.1,43.2
42907,116.8,25.1
42908,144.4,30
42911,162.3,35.5
42912,163.4,35
42913,160.6,40
42914,174.6,41.5
42918,157.2,33
42919,159.3,39.6
42920,169.7,36.3
42922,169.1,37.1
42923,164.7,39.5
42927,154.3,30.7
42929,152.5,36.9
42930,157.7,39.9
42932,157.4,35.6
42933,141.3,33.2
42935,163.2,34.3
42936,149.4,37.2
42937,181.6,43.1
42939,170.3,38
42940,169.4,36.3
42941,163,32
42944,146.4,37.4
42946,161.4,34.2
42947,176.7,40.2
42948,174,39.1
42949,159.2,37.7
42950,161.8,36.8
42952,135.6,30.8
42953,177.3,42.1
42954,142.7,35.2
42956,153.8,34.6
42957,129.2,27.7
42958,176.5,44.2
42959,126.6,30.5
42960,164.3,36.9
42961,154.1,35.2
42962,168.9,38.5
42963,151.5,36
42964,141.2,33.8
42966,139.1,32.7
42967,162.2,37.5
42969,177.3,44.6
42971,145.1,36.1
42972,146,35.3
42973,162.8,34.8
42974,183.4,41.1
42975,161.1,41.8
42977,155.7,32.6
42978,184.3,43
42979,179.9,42
42980,163.2,40.4
42981,157.5,34
42982,177,40.8
42983,148.9,35.7
42984,169.5,40.7
42985,182,39.5
42986,156.1,36.2
42987,166.8,42.5
42988,134.5,29.8
42989,143.5,36
42991,157.1,31.4
42992,162.9,40
42993,171.1,36.6
42996,132.9,32
42997,189.8,41.2
42998,150.8,38.7
43001,143.5,34
43002,118.4,26.7
43004,158.5,37
43005,143.4,30.6
43007,166.6,36
43008,159.8,39.3
43009,177.6,44.2
43010,183.1,47.1
43011,178.4,46
43012,159.2,37.5
43014,138.2,31
43015,178.9,42.5
43016,151.5,34
43018,146,28.5
43019,161.9,34.9
43020,153.6,35.2
43021,171.8,38.2
43022,155.2,37.2
43023,151.1,28.2
43024,152.2,32.9
43025,157.9,33.7
43026,165.2,35.3
43027,131.3,30.9
43028,150.7,37
43029,147.8,30
43030,173.7,39.6
43031,149.7,35
43032,175.8,38.8
43035,164.9,38.5
43037,166,40
43041,170.4,38.2
43042,163.5,38.7
43044,166.7,40
43046,147.8,35
43047,169.2,38.1
43048,166.5,40.8
43050,163.2,39.4
43051,157.5,39
43052,170.7,42
43053,168.6,38.6
43055,151.5,38
43056,158.4,38
43058,128.8,28.5
43060,183.8,44.1
43062,173.1,41.1
43065,156.6,36.6
43067,164.9,39.7
43069,139.2,35
43070,171.2,44.2
43071,164.9,36.8
43073,172.9,36.6
43074,170.2,38.7
43078,182.9,43.4
43079,176,43.3
43080,153.9,33
43083,163.4,39.3
43084,163.5,32.1
43085,179.6,43
43086,167.5,38.7
43087,157.4,32
43088,148.1,38
43089,153.1,35
43090,136.4,31.3
43091,163.3,32
43092,169.7,37.5
43093,155.3,36
43095,182.9,42.5
43096,167.4,37.6
43098,174,42.2
43099,172.7,39.6
43100,172,36.5
43105,153.8,38.7
43106,181,42.6
43109,166.6,38.3
43110,147.6,34.3
43111,152.3,34.6
43112,184.7,42.6
43114,187.9,44.8
43115,162.9,40.3
43116,154.7,36.5
43117,172.9,40.6
43119,175.9,41.7
43120,132.7,31.5
43122,153.7,36
43124,180.4,46.4
43126,166.9,40.1
43127,162.3,40.1
43128,178.2,43.8
43130,139.3,31.3
43131,165,40.4
43133,187.3,42.6
43134,160.2,38.1
43137,169.6,38
43138,160.5,38
43139,160.9,38.4
43140,184.2,40
43142,176.1,40.2
43144,174.7,41
43147,173.9,42.9
43148,151.4,34.4
43151,176.2,39.2
43153,169.7,42.4
43156,184.2,45
43157,158.5,39.2
43162,152,32.6
43165,168,37.3
43166,172,34.1
43167,162.5,37.5
43168,171.2,38.6
43169,179,43.5
43170,184.1,42
43172,188.6,39.5
43173,192.1,40.6
43174,171.8,37.7
43175,174.3,40
43176,160.9,36.5
43177,172.7,39.2
43180,163,39.8
43185,169.7,41.3
43186,177.5,32.5
43188,155.9,39.5
43189,177,40.8
43190,168.4,40.2
43191,156.4,33
43193,165.4,32.9
43194,125.1,27
43195,162.2,36
43198,182.2,43
43199,152.8,35.2
43201,153.2,38
43202,163.3,32.3
43204,153.9,36
43205,163.8,41.6
43206,129,28.4
43210,167.3,37.3
43212,167.6,40
43214,166.5,33.9
43215,167.1,36.9
43216,174.9,41.3
43219,164.1,37.5
43221,176.5,38.2
43222,169,41.2
43223,184.5,46
43224,176.6,38.2
43225,154.3,36.8
43226,128.2,28.1
43227,187.8,43
43228,169.4,40
43229,167.6,35.7
43230,152.6,32.8
43231,133.3,28.5
43232,177.8,39.1
43233,165.7,36.1
43234,170.1,47.5
43235,171.8,38.2
43237,184.4,40.3
43238,172.5,38.5
43239,123.9,28
43240,155.6,28
43241,156,33
43242,175.2,38.7
43243,173,35.8
43244,157.5,34.5
43245,172.1,32.8
43246,162.6,37.5
43247,165.1,36.5
43248,170.3,40.6
43250,186.9,45.3
43251,162.4,38.1
43252,166.5,37.5
43253,169.5,43.1
43254,175.3,41.4
43256,149.9,33.2
43258,151,33.8
43259,149.9,27.6
43261,172.8,35.6
43262,135.9,32.2
43263,159.8,37
43264,163.7,38
43265,172.5,40.5
43268,169.4,39.5
43269,166,36.9
43271,162.9,42.1
43273,170.6,47.7
43275,167,36.2
43277,188.7,51.4
43278,162.5,39.6
43279,160.5,36.2
43280,171.2,38.7
43282,176,41.8
43283,168.1,37.5
43284,162.4,35.2
43285,179.5,43
43290,157.9,31.4
43293,154,34.5
43294,154.2,31.2
43295,146.3,33.2
43296,163.5,34
43297,169.4,31.5
43298,166,41.3
43300,159.4,33.8
43301,158.9,30.8
43302,162.3,36.2
43304,171.5,42.8
43305,159.4,32.2
43306,157.1,36.4
43308,173.8,39.6
43309,158.9,35.6
43310,167.3,41
43311,181.7,38.7
43313,155.7,36.7
43314,160.3,38.5
43315,158.2,36.4
43316,176.9,42.6
43317,175.6,42.2
43318,162.8,33.5
43321,168.9,39.5
43322,149.5,39.5
43323,175.4,35
43324,175.5,40.5
43325,157,40.2
43329,180.7,45.6
43330,161.5,31
43331,135.4,31.4
43332,141.6,33.4
43333,170.9,42
43335,163.5,39.1
43336,153.3,39
43338,165.4,37.7
43339,172.6,38.7
43340,165.7,37.2
43342,178.4,43
43343,168.9,39.2
43344,145.7,35.5
43345,174.6,43.2
43346,142,33.8
43347,174.1,40.4
43348,155.7,36.4
43349,162.2,33.2
43350,149.6,38
43351,161,34
43352,152.9,35
43353,160.8,36.4
43354,166,37.3
